source,target,timestamp,message_count,communication_type
Alice,Bob,2024-01-01 09:15:00,5,chat
Bob,Charlie,2024-01-01 10:30:00,3,email
Charlie,Diana,2024-01-01 11:45:00,2,chat
Alice,Diana,2024-01-01 14:20:00,4,email
Bob,Eve,2024-01-01 16:10:00,1,chat
Eve,Frank,2024-01-02 08:30:00,6,email
Frank,Grace,2024-01-02 09:45:00,2,chat
Grace,Henry,2024-01-02 11:20:00,4,email
Alice,Charlie,2024-01-02 13:15:00,3,chat
Diana,Frank,2024-01-02 15:30:00,2,email
Henry,Iris,2024-01-03 07:45:00,5,chat
Iris,Jack,2024-01-03 09:20:00,3,email
Jack,Alice,2024-01-03 11:30:00,4,chat
Bob,Grace,2024-01-03 13:45:00,2,email
Charlie,Henry,2024-01-03 15:15:00,1,chat
Eve,Iris,2024-01-04 08:00:00,7,email
Frank,Jack,2024-01-04 10:30:00,3,chat
Grace,Alice,2024-01-04 12:45:00,5,email
Henry,Bob,2024-01-04 14:20:00,2,chat
Iris,Charlie,2024-01-04 16:30:00,4,email
Diana,Eve,2024-01-05 09:15:00,6,chat
Alice,Frank,2024-01-05 11:45:00,2,email
Bob,Henry,2024-01-05 13:30:00,3,chat
Charlie,Grace,2024-01-05 15:45:00,4,email
Diana,Iris,2024-01-05 17:20:00,1,chat
Eve,Jack,2024-01-06 08:30:00,5,email
Frank,Henry,2024-01-06 10:15:00,3,chat
Grace,Iris,2024-01-06 12:45:00,2,email
Alice,Henry,2024-01-06 14:30:00,4,chat
Bob,Iris,2024-01-06 16:15:00,1,email
Charlie,Jack,2024-01-07 09:00:00,6,chat
Diana,Grace,2024-01-07 11:30:00,3,email
Eve,Henry,2024-01-07 13:45:00,2,chat
Frank,Iris,2024-01-07 15:20:00,4,email
Grace,Jack,2024-01-07 17:00:00,5,chat
